"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"581","Berenstraat 38","SRID=4326;POINT(4.88324088832928 52.370465704768)","1016GH","Pancakes Amsterdam","2022-04-01","2019-04-01","13421","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","Verleend","","29-07-2020","16-07-2020","SRID=4326;MULTIPOLYGON(((4.88326700876882 52.3704412437773,4.88325674021784 52.3704415160438,4.88325610476738 52.3704325371096,4.88326637331629 52.3704322648431,4.88326700876882 52.3704412437773)),((4.88324494937776 52.3704418286721,4.88321150323896 52.3704427154735,4.88321086779762 52.3704337365389,4.88324431392968 52.3704328497378,4.88324494937776 52.3704418286721)))"
"582","Spijkerkade 10","SRID=4326;POINT(4.92060669507858 52.3851995690689)","1021JS","Walhalla Craft Beer B.V.","2021-02-01","2018-04-19","14378","Café","Verleend","Café","02:00","7:00","01:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14863_Spijkerkade 10-1965422_ver_14863_Walhalla Craft Beer toestemming uitbreiding terras.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.92066553502085 52.3851717505508,4.92073751362457 52.3851806704811,4.92069567517754 52.385307072308,4.92062369637764 52.3852981523523,4.92066553502085 52.3851717505508)))"
"583","Binnen Bantammerstraat 27","SRID=4326;POINT(4.90275017131639 52.3736207746431)","1011CJ","Captein & Co","2021-07-01","2018-07-01","7565","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_7762_Binnen Bantammerstraat 27-2040017_1.DOCX.pdf","17-07-2020","17-07-2020","SRID=4326;MULTIPOLYGON(((4.90290966065443 52.3736530349116,4.90293482177549 52.3736588516919,4.90298307937916 52.3735804485037,4.90295606551815 52.3735456532127,4.90295567416103 52.3735451491235,4.9029393594934 52.3735427476813,4.90293616056387 52.3735423683083,4.90293297784137 52.373542093995,4.9029296918032 52.373541908863,4.90292642474443 52.3735418138766,4.90292319299043 52.373541820859,4.90291995875917 52.3735419220694,4.90291670725697 52.3735421259841,4.90291346092216 52.3735424207307,4.90291027223899 52.3735428069877,4.90289836349591 52.3735446221644,4.90289870820896 52.3735450661744,4.90293664875351 52.3735939356982,4.90294088506986 52.3736000106121,4.90291541828468 52.3736421121352,4.90291540064475 52.3736437298226,4.90290966065443 52.3736530349116)),((4.90290966065443 52.3736530349116,4.9029096606544 52.3736530349116,4.90290966031984 52.373653035454,4.90290966065443 52.3736530349116)))"
"584","Korte Leidsedwarsstraat 47","SRID=4326;POINT(4.88246718418392 52.3648991024787)","1017PW","Eijlders","2022-01-01","2017-01-01","2332","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_2429_Korte Leidsedwarsstraat 47-2000097_1.DOCX.pdf","14-07-2020","","SRID=4326;MULTIPOLYGON(((4.88247958878802 52.3648733788998,4.88247328976805 52.3648777672303,4.8824446156209 52.3648623430621,4.88245091464151 52.3648579547331,4.88247958878802 52.3648733788998)),((4.88242351622318 52.3649124428617,4.88239484207102 52.3648970186815,4.88243748163731 52.3648673130819,4.88246615578518 52.3648827372518,4.88242351622318 52.3649124428617)))"
"585","Lijndenstraat 28","SRID=4326;POINT(4.9310427447318 52.3712261690116)","1018NV","Baretto","2022-05-01","2019-05-01","15218","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15770_Lijndenstraat 28-1963986_1.DOCX.pdf","13-07-2020","13-07-2020","SRID=4326;MULTIPOLYGON(((4.93107849183919 52.3711754379267,4.93105767948612 52.3711881191969,4.9309851651266 52.3711435334694,4.9310059774794 52.3711308522118,4.93107849183919 52.3711754379267)),((4.93104251017063 52.3712475444907,4.93103735741191 52.3712443645454,4.93107697378627 52.3712203150126,4.93108212654504 52.3712234949562,4.93104251017063 52.3712475444907)))"
"586","Oudezijds Voorburgwal 197","SRID=4326;POINT(4.89560925026822 52.3709389722326)","1012EX","The Grand","2024-07-01","2019-07-01","3029","Zalenverhuur","Verleend","Zalenverhuur","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3150_Oudezijds Voorburgwal 197-1960418_1.DOCX.pdf","19-06-2020","18-06-2020","SRID=4326;MULTIPOLYGON(((4.89513328672332 52.3708984083393,4.89512594088888 52.3708894070266,4.89511372428445 52.3708744372442,4.89509546512748 52.3708504153922,4.89506312378064 52.3708016771112,4.89504555664314 52.370771662381,4.89504016051184 52.3707623069392,4.89503315965428 52.3707484887217,4.89505371898218 52.3707432684895,4.89505836864887 52.3707530977608,4.89505615145608 52.37075349402,4.89505535331819 52.3707537281533,4.89505507370665 52.3707538713828,4.8950548641967 52.3707540228957,4.89505464664338 52.3707542066728,4.89505439653856 52.370754745855,4.8950544899489 52.3707553614169,4.89505602807303 52.3707582333,4.89505645859422 52.370758757861,4.89505696507715 52.3707590554017,4.89505767369693 52.370759265413,4.89505794251504 52.3707593076105,4.89505914653713 52.3707592276658,4.895061450404 52.3707588402631,4.89508689649171 52.3708023422035,4.89508504621215 52.3708027526738,4.89508438932833 52.3708029212348,4.89508393926871 52.3708030961915,4.89508359506504 52.3708032969038,4.89508332976041 52.3708035473175,4.89508319807815 52.3708037543472,4.89508308276999 52.3708041243767,4.89508308271356 52.3708043853874,4.89508321359973 52.3708046999628,4.89508525489748 52.3708078033981,4.89508549347016 52.3708080426675,4.89508578740826 52.3708082311197,4.89508617780069 52.3708083902762,4.89508668028383 52.3708085164807,4.89508720852231 52.3708085718802,4.89508787074407 52.3708085298611,4.89509049119714 52.3708078934638,4.89511953049026 52.3708507408758,4.89511727753189 52.3708513157161,4.89511630328173 52.3708517790257,4.89511602295872 52.3708532248598,4.8951181343053 52.3708561545814,4.89511846842801 52.3708564795204,4.89511949135361 52.3708569241568,4.89512010714013 52.3708570076009,4.89512082892377 52.3708569633373,4.89512346390652 52.3708562036653,4.89515299025363 52.3708923841597,4.89513328672332 52.3708984083393)))"
"587","Beukenplein 22","SRID=4326;POINT(4.91783162397255 52.3569016606352)","1091KH","Smokin'Barrels","2022-05-01","2017-05-01","11938","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12415_Beukenplein 22-1959023_1.DOCX.pdf","24-06-2020","18-06-2020","SRID=4326;MULTIPOLYGON(((4.91810865094697 52.3568803184909,4.91803033949059 52.3569861018108,4.91793675369598 52.3569601293414,4.91801506532879 52.3568543460829,4.91810865094697 52.3568803184909)),((4.91786322207702 52.3569397223495,4.91791910015877 52.3568642425296,4.91794583888551 52.3568716632467,4.91788996083972 52.3569471430791,4.91786322207702 52.3569397223495)))"
"588","NDSM-plein 102","SRID=4326;POINT(4.89672172950271 52.3995879124284)","1033WB","Noorderlicht","2022-10-01","2019-10-01","9537","Restaurant","Verleend","Restaurant","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_9848_NDSM-plein 102-1965273_Noorderlicht toestemming uitbreiding terras.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.89663749759572 52.3995463833763,4.8968741923776 52.3995104294798,4.89684093077424 52.3994285734834,4.89682981337591 52.3994301771062,4.89683414876592 52.3994414227235,4.89670662084804 52.3994606679052,4.89671323171413 52.3994780411094,4.89667039750986 52.3994850449772,4.89667724572837 52.3995022124525,4.89664892829519 52.3995065531365,4.89665618412089 52.3995240638236,4.89662782060761 52.3995285840619,4.8966314332732 52.3995380538489,4.89660988743268 52.3995412361814,4.89661340410145 52.3995500029473,4.89662370029185 52.3995756704821,4.89661808742604 52.3995766043496,4.89663694660685 52.3996202004889,4.89664233261267 52.3996193998086,4.89665658321478 52.3996541145276,4.89667938064622 52.3996506947002,4.89663749759572 52.3995463833763)))"
"589","Eerste Sweelinckstraat 10","SRID=4326;POINT(4.89707826291664 52.3566558829575)","1073CM","Escobar B.V.","2020-06-01","2018-06-23","13805","Café","Verleend","Eetcafé","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14321_Eerste Sweelinckstraat 10A-2113246_1.DOCX.pdf","30-07-2020","29-07-2020","SRID=4326;MULTIPOLYGON(((4.89720435733565 52.3565704160562,4.89727866559719 52.3565919340277,4.89723097019183 52.3566536806619,4.89715666185041 52.3566321626609,4.89720435733565 52.3565704160562)),((4.89722343932622 52.3566634301287,4.89718766766942 52.3567097400887,4.89713459022354 52.3566943700733,4.89717036192313 52.3566480601293,4.89722343932622 52.3566634301287)))"
"590","Amstelstraat 49","SRID=4326;POINT(4.89998195548881 52.3662755798718)","1017DA","Lo Stivale D'Oro","2021-04-01","2018-04-01","1781","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","Geweigerd","","28-07-2020","28-07-2020",""
"591","Nes 71","SRID=4326;POINT(4.89343863423628 52.3697985971579)","1012KD","Stichting Gasthuis Frascati","2025-01-01","2020-01-01","13256","Additionele horeca","Verleend","Theaterfoyer","","","","","","","00:00","00:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13718_Nes 71-2049447_1.DOCX.pdf","14-07-2020","14-07-2020",""
"592","NDSM-kade 7","SRID=4326;POINT(4.89079235993418 52.4016213815625)","1033PG","Horecapa B.V. Y-Kantine","2023-04-01","","10140","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10545_NDSM-kade 5 -7-1964978_De IJ-kantine toestemming uitbreiding terras.pdf","22-06-2020","22-06-2020",""
"593","Dam 10","SRID=4326;POINT(4.89230976777828 52.3735956293712)","1012NP","NAKED Espresso Dam","2021-10-01","2018-10-01","14973","Alcoholvrij","Verleend","Koffiehuis","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_15520_Dam 10-1958954_1.DOCX.pdf","18-06-2020","18-06-2020","SRID=4326;MULTIPOLYGON(((4.89227034663332 52.3735865524068,4.89230515802674 52.3736390110497,4.89225073853096 52.3736525387205,4.89221592719128 52.3736000800619,4.89227034663332 52.3735865524068)))"
"594","Kleine-Gartmanplantsoen 25","SRID=4326;POINT(4.88416045106583 52.3631716957396)","1017RP","Villa Orange","2021-11-01","2019-11-01","15724","Café","Verleend","Café","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_99999999_Kleine-Gartmanplantsoen 25-2040_ver_15606_Kleine-Gartmanplantsoen 25-2040393_2.DOCX.pdf","05-08-2020","05-08-2020",""
"595","Leidseplein 11","SRID=4326;POINT(4.88346079340886 52.3640225454418)","1017PS","Satellite Sportscafe","2021-02-01","2018-02-01","2485","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_2590_Leidseplein 11-1980291_1.DOCX.pdf","21-07-2020","21-07-2020","SRID=4326;MULTIPOLYGON(((4.88340496347174 52.3640385739257,4.88347142723371 52.3640700540703,4.88365388317779 52.3639434751395,4.88365475198264 52.3639432451527,4.88367106993371 52.3639513489797,4.88348776488681 52.3640776884788,4.88347526213851 52.3640859731705,4.88346101555005 52.3640915068015,4.88343634159457 52.3640951738625,4.8834202696873 52.364094865407,4.88339913907291 52.3640911732677,4.8833847793698 52.3640857961652,4.88336012706443 52.364074153955,4.88340496347174 52.3640385739257)))"
"596","Oudezijds Voorburgwal 222D","SRID=4326;POINT(4.89614072400054 52.3724822358982)","1012GJ","Burgerzaken","2022-03-01","2017-03-01","11600","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","09-07-2020","09-07-2020","SRID=4326;MULTIPOLYGON(((4.89633244304892 52.3724086365434,4.89633244304976 52.372408636543,4.8963324430506 52.3724086365426,4.89633244305144 52.3724086365422,4.89633244305228 52.3724086365419,4.89633244305311 52.3724086365415,4.89633244305395 52.3724086365411,4.89633244305479 52.3724086365407,4.89633244305564 52.3724086365403,4.89633244305648 52.3724086365399,4.8963324430573 52.3724086365396,4.89633244305814 52.3724086365392,4.89633244305898 52.3724086365388,4.89633244305983 52.3724086365384,4.89633244306067 52.372408636538,4.89633244306149 52.3724086365377,4.89633244306234 52.3724086365373,4.89633244306318 52.3724086365369,4.89633244306402 52.3724086365365,4.89633244306486 52.3724086365361,4.89633244306569 52.3724086365357,4.89633244306653 52.3724086365354,4.89633244306737 52.372408636535,4.89633244306821 52.3724086365346,4.89633244306905 52.3724086365342,4.89633244306989 52.3724086365338,4.89633244307072 52.3724086365334,4.89633244307156 52.3724086365331,4.8963324430724 52.3724086365327,4.89633244307324 52.3724086365323,4.89633244307408 52.3724086365319,4.89633244307491 52.3724086365316,4.89633244307575 52.3724086365312,4.89633244307659 52.3724086365308,4.89633244307743 52.3724086365304,4.89633244307827 52.37240863653,4.8963324430791 52.3724086365296,4.89633244307994 52.3724086365292,4.89633244308078 52.3724086365289,4.89633244308162 52.3724086365285,4.89633244308247 52.3724086365281,4.89633244308329 52.3724086365277,4.89633244308413 52.3724086365273,4.89633244308498 52.372408636527,4.89633244308582 52.3724086365266,4.89633244308666 52.3724086365262,4.8963324430875 52.3724086365258,4.89633244308833 52.3724086365254,4.89633244308917 52.3724086365249,4.89633244309001 52.3724086365247,4.89633244309085 52.3724086365243,4.89633244309169 52.3724086365239,4.89633244309252 52.3724086365235,4.89633244309336 52.3724086365231,4.8963324430942 52.3724086365228,4.89633244309504 52.3724086365224,4.89633244309588 52.372408636522,4.89633244309671 52.3724086365216,4.89633244309755 52.3724086365212,4.89633244309839 52.3724086365209,4.89633244309923 52.3724086365205,4.89633244310007 52.3724086365201,4.8963324431009 52.3724086365197,4.89633244310174 52.3724086365193,4.89633244310258 52.3724086365189,4.89633244310342 52.3724086365186,4.89633244310426 52.3724086365181,4.8963324431051 52.3724086365178,4.89633244310593 52.3724086365174,4.89633244310677 52.372408636517,4.89633244310761 52.3724086365167,4.89633244310845 52.3724086365163,4.89633244310929 52.3724086365159,4.89633244311012 52.3724086365155,4.89633244311096 52.3724086365151,4.89633244311181 52.3724086365147,4.89633244311265 52.3724086365144,4.89633244311349 52.372408636514,4.89633244311432 52.3724086365136,4.89633244311516 52.3724086365132,4.896332443116 52.3724086365128,4.89633244311684 52.3724086365124,4.89633244311768 52.3724086365121,4.8963324431185 52.3724086365117,4.89633244311935 52.3724086365113,4.89633244312019 52.3724086365109,4.89633244312103 52.3724086365105,4.89633244312187 52.3724086365102,4.89633244312271 52.3724086365098,4.89633244312354 52.3724086365094,4.89633244312438 52.372408636509,4.89633244312522 52.3724086365086,4.89633244312606 52.3724086365082,4.8963324431269 52.3724086365079,4.89633244312773 52.3724086365075,4.89633244312857 52.3724086365071,4.89633244312941 52.3724086365067,4.89633244313025 52.3724086365063,4.89633244313109 52.372408636506,4.89633244313192 52.3724086365056,4.89633244313276 52.3724086365052,4.8963324431336 52.3724086365048,4.89633244313445 52.3724086365044,4.89633244313529 52.372408636504,4.89633244313611 52.3724086365037,4.89633244313695 52.3724086365033,4.89633244313779 52.3724086365029,4.89633244313864 52.3724086365025,4.89633244313948 52.3724086365022,4.89633244314032 52.3724086365018,4.89633244314114 52.3724086365014,4.89633244314199 52.372408636501,4.89633244314283 52.3724086365006,4.89633244314367 52.3724086365002,4.89633244314451 52.3724086364999,4.89633244314534 52.3724086364995,4.89633244314618 52.3724086364991,4.89633244314702 52.3724086364987,4.89633244314786 52.3724086364983,4.8963324431487 52.372408636498,4.89633244314953 52.3724086364975,4.89633244315037 52.3724086364972,4.89633244315121 52.3724086364968,4.89633244315205 52.3724086364964,4.89633244315289 52.372408636496,4.89633244315373 52.3724086364957,4.89633244315456 52.3724086364953,4.8963324431554 52.3724086364949,4.8963324431554 52.3724086364949,4.89634891884868 52.3724011325136,4.89638689086273 52.3724326814851,4.89635779372346 52.3724459340027,4.8963198217188 52.372414385022,4.8963198217188 52.372414385022,4.89633244294244 52.3724086365919,4.89633244304892 52.3724086365434,4.89633244304892 52.3724086365434)),((4.89632139788132 52.3723782667376,4.89633576800315 52.3723902061468,4.89631920638083 52.3723977492641,4.89630667087653 52.372403458652,4.89629230075826 52.3723915192393,4.89632139788132 52.3723782667376)),((4.89624592089988 52.3724352055174,4.89626808464122 52.3724520907508,4.89626236108164 52.3724549051778,4.89624019734108 52.3724380199432,4.89624592089988 52.3724352055174)))"
"597","Singel 426-H","SRID=4326;POINT(4.8877727529877 52.3683278651087)","1017AV","Pizza-Spagetti-Huis Casa di David B.V.","2023-12-01","2018-12-01","3504","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3609_Singel 426-H-1969633_1.DOCX.pdf","24-06-2020","",""
"598","Rembrandtplein 7-H","SRID=4326;POINT(4.89614841863888 52.3664125509959)","1017CT","Demiana BV Titus Parilla","","2020-05-01","12092","Restaurant","Nog niet bekend","Restaurant","02:00","07:00","01:00","07:00","02:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12574_Rembrandtplein 7-H-1966822_1.DOCX.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.89609713256154 52.3663834614719,4.8960951644344 52.3663531980151,4.89618978690141 52.3663508920973,4.89619175509286 52.3663811555525,4.89609713256154 52.3663834614719)))"
"599","Daniel Stalpertstraat 36-H","SRID=4326;POINT(4.88852560008124 52.3561977915745)","1072XG","Egg House Frans Halsstraat B.V.","2022-06-01","2019-04-01","15236","Café","Verleend","Eetcafé","1:00","7:00","0:00","7:00","3:00","7:00","0:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15788_Daniel Stalpertstraat 36-H-1967804_1.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.88865178140848 52.3561961447911,4.88861674422788 52.3561983879452,4.88860941710756 52.3561554823882,4.88864445425473 52.3561532392362,4.88865178140848 52.3561961447911)),((4.88859203095428 52.3562265165588,4.88856502310715 52.3562282456441,4.88854693441557 52.3561223225416,4.88857394219905 52.3561205934603,4.88859203095428 52.3562265165588)))"
"600","Zeedijk 23","SRID=4326;POINT(4.90081804352531 52.3757339260176)","1012AP","La Santa Maria International Dinner","2024-06-01","2019-06-01","11553","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11980_Zeedijk 23-1976470_1.DOCX.pdf","22-07-2020","22-07-2020","SRID=4326;MULTIPOLYGON(((4.90082792872275 52.3757015574686,4.90080596617553 52.375719561814,4.90080008254012 52.3757168735346,4.90082204508839 52.3756988691902,4.90082792872275 52.3757015574686)),((4.90077068967835 52.3757469368272,4.90076499545864 52.3757440998774,4.90078400073256 52.3757298116169,4.90078969495167 52.3757326485658,4.90077068967835 52.3757469368272)))"
